"","subject_idx","response","rt","response_key","zConf","strength_corr","strenght_chosen"
"1",1232,0,1.13610499386,"right",-0.63893226544821,-0.114084965268463,0.114084965268463
"2",1232,1,1.05226339602,"right",0.14008675338704,-0.0102423730672782,-0.0102423730672782
"3",1232,1,1.0189196139,"left",1.16511177817027,-0.106627057194741,-0.106627057194741
"4",1232,1,1.01904022064,"left",1.16511177817027,-0.141003436426117,-0.141003436426117
"5",1232,1,0.835181214476,"right",0.55009676330033,0.251809696161539,0.251809696161539
"6",1232,1,1.61997014414,"left",1.16511177817027,-0.107706264352502,-0.107706264352502
"7",1232,1,1.85376432418,"right",-1.90996329617941,0.183805594584399,0.183805594584399
"8",1232,1,0.968763991378,"left",0.55009676330033,-0.037396681647687,-0.037396681647687
"9",1232,1,1.21888018915,"left",1.16511177817027,-0.181311313877469,-0.181311313877469
"10",1232,0,2.48836429381,"right",-1.54095428725745,0.00400319418961698,-0.00400319418961698
"11",1232,1,1.58654500936,"right",0.222088755369698,0.0841016821894165,0.0841016821894165
"12",1232,0,1.35304324378,"right",0.55009676330033,-0.029677373953801,0.029677373953801
"13",1232,1,0.985444415936,"left",1.16511177817027,-0.208257411791757,-0.208257411791757
"14",1232,1,1.78694505965,"left",1.16511177817027,-0.120792057971286,-0.120792057971286
"15",1232,1,0.918659000933,"left",1.16511177817027,-0.168960478549739,-0.168960478549739
"16",1232,1,0.90198710987,"left",1.16511177817027,-0.274195516741527,-0.274195516741527
"17",1232,1,1.97015182227,"right",-1.37695028329213,-0.00460791632881234,-0.00460791632881234
"18",1232,1,2.0709068091,"right",-1.29494828130947,0.160286369780482,0.160286369780482
"19",1232,1,1.18587006671,"right",1.12411077717894,-0.00475812679616649,-0.00475812679616649
"20",1232,1,1.51981335538,"right",1.16511177817026,-0.00980405729497924,-0.00980405729497924
"21",1232,1,1.77025155039,"right",-1.29494828130947,-0.0697599486606994,-0.0697599486606994
"22",1232,1,1.82046207174,"left",-0.63893226544821,-0.245417250802716,-0.245417250802716
"23",1232,1,0.902329587508,"left",1.16511177817027,-0.0712499349108465,-0.0712499349108465
"24",1232,1,1.15249186616,"left",-0.392926259500236,-0.21746162525027,-0.21746162525027
"25",1232,1,0.96880210766,"left",0.181087754378369,-0.180369794555544,-0.180369794555544
"26",1232,1,1.00216921467,"left",1.16511177817027,-0.195769909246591,-0.195769909246591
"27",1232,0,2.22117769071,"right",-0.925939272387513,0.0161080071106998,-0.0161080071106998
"28",1232,1,1.63722145958,"right",-1.49995328626612,0.194298269132943,0.194298269132943
"29",1232,1,2.33798987245,"right",-1.62295628924011,0.124020588308221,0.124020588308221
"30",1232,1,1.97047751737,"right",-1.58195528824878,0.155032590438025,0.155032590438025
"31",1232,1,1.70349116698,"left",-0.433927260491565,-0.199788147978074,-0.199788147978074
"32",1232,1,1.3861799464,"right",-0.228922255534921,-0.160075909296754,-0.160075909296754
"33",1232,1,1.11909204741,"left",1.12411077717894,-0.181374515542749,-0.181374515542749
"34",1232,1,2.88900311131,"right",-1.0489422753615,-0.0250111681492221,-0.0250111681492221
"35",1232,0,2.25485939928,"right",-1.13094427734416,0.0852033507496356,-0.0852033507496356
"36",1232,0,1.36976263796,"right",-1.62295628924011,0.107621552009439,-0.107621552009439
"37",1232,1,1.01936591574,"left",1.16511177817027,0.0928350220417776,0.0928350220417776
"38",1232,1,1.73690378597,"left",-1.66395729023143,-0.19552448616723,-0.19552448616723
"39",1232,1,1.05263830095,"left",1.12411077717894,-0.198223029594432,-0.198223029594432
"40",1232,1,1.068901722,"left",1.16511177817027,-0.294604285702209,-0.294604285702209
